variable,label,dtype,n_unique,n_missing,pct_missing,value_labels,missing_codes
AIWRKH5N_OE3_W119,AIWRKH5N_W119_OE3. What is the main reason you would not want to apply for a job with an employer that uses artificial intelligence (AI) to help make hiring decisions? Third theme present,float64,10,10930,99.33,"{1.0: 'AI would miss the human factor hiring needs', 3.0: 'Potential for bias, unfair treatment, discrimination', 4.0: 'AI makes mistakes, screens out qualified candidates, has design flaws', 5.0: 'AI...",99.0=Don’t know/No answer
AIWRKH5N_REFUSED_W119,AIWRKH5N_W119 Refused,float64,3,0,0.0,"{0.0: 'Not asked', 1.0: 'Did not refuse', 99.0: 'Refused'}",99.0=Refused
HIREBIAS1_W119,"HIREBIAS1_W119. In hiring generally, how much of a problem is bias and unfair treatment based on job applicants’ race or ethnicity?",float64,4,0,0.0,"{1.0: 'A major problem', 2.0: 'A minor problem', 3.0: 'Not a problem', 99.0: 'Refused'}",99.0=Refused
HIREBIAS2_W119,"HIREBIAS2_W119. If artificial intelligence (AI) is used more by employers in the hiring process, do you think the issue of bias and unfair treatment based on job applicants’ race or ethnicity would…",float64,6,2093,19.02,"{1.0: 'Definitely get better', 2.0: 'Probably get better', 3.0: 'Stay about the same', 4.0: 'Probably get worse', 5.0: 'Definitely get worse', 99.0: 'Refused'}",99.0=Refused
AIWRKM1_W119,AIWRKM1_W119. Thinking about another way employers may use artificial intelligence (AI)… How much have you heard or read about employers’ use of AI to collect and analyze information about how workers are doing their jobs?,float64,4,0,0.0,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
AIWRKM2_a_W119,AIWRKM2_a_W119. Do you favor or oppose employers’ use of artificial intelligence (AI) to do each of the following?    Keeping track of when office workers are at their desks,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM2_b_W119,AIWRKM2_b_W119. Do you favor or oppose employers’ use of artificial intelligence (AI) to do each of the following?    Recording exactly what people are doing on their work computers,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM2_c_W119,AIWRKM2_c_W119. Do you favor or oppose employers’ use of artificial intelligence (AI) to do each of the following?    Tracking workers’ movements while they work,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM2_d_W119,AIWRKM2_d_W119. Do you favor or oppose employers’ use of artificial intelligence (AI) to do each of the following?    Monitoring workers’ driving behavior as they make trips for the company,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM2_e_W119,AIWRKM2_e_W119. Do you favor or oppose employers’ use of artificial intelligence (AI) to do each of the following?    Evaluating how well people are doing their jobs,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM2_f_W119,AIWRKM2_f_W119. Do you favor or oppose employers’ use of artificial intelligence (AI) to do each of the following?    Analyzing how retail workers interact with customers,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM3_a_W119,AIWRKM3_a_W119. Do you think each of the following would happen if employers used artificial intelligence (AI) to collect and analyze information about how workers are doing their jobs?    Workers would all be evaluated in the same way,float64,6,0,0.0,"{1.0: 'Definitely would happen', 2.0: 'Probably would happen', 3.0: 'Probably would not happen', 4.0: 'Definitely would not happen', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM3_b_W119,AIWRKM3_b_W119. Do you think each of the following would happen if employers used artificial intelligence (AI) to collect and analyze information about how workers are doing their jobs?    Information collected about workers would be misused,float64,6,0,0.0,"{1.0: 'Definitely would happen', 2.0: 'Probably would happen', 3.0: 'Probably would not happen', 4.0: 'Definitely would not happen', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM3_c_W119,AIWRKM3_c_W119. Do you think each of the following would happen if employers used artificial intelligence (AI) to collect and analyze information about how workers are doing their jobs?    Workplace security would be improved,float64,6,0,0.0,"{1.0: 'Definitely would happen', 2.0: 'Probably would happen', 3.0: 'Probably would not happen', 4.0: 'Definitely would not happen', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM3_d_W119,AIWRKM3_d_W119. Do you think each of the following would happen if employers used artificial intelligence (AI) to collect and analyze information about how workers are doing their jobs?    Inappropriate behavior in the workplace would decrease,float64,6,0,0.0,"{1.0: 'Definitely would happen', 2.0: 'Probably would happen', 3.0: 'Probably would not happen', 4.0: 'Definitely would not happen', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM3_e_W119,AIWRKM3_e_W119. Do you think each of the following would happen if employers used artificial intelligence (AI) to collect and analyze information about how workers are doing their jobs?    Companies’ profits would increase,float64,6,0,0.0,"{1.0: 'Definitely would happen', 2.0: 'Probably would happen', 3.0: 'Probably would not happen', 4.0: 'Definitely would not happen', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM3_f_W119,AIWRKM3_f_W119. Do you think each of the following would happen if employers used artificial intelligence (AI) to collect and analyze information about how workers are doing their jobs?    Workers would feel like they were being inappropriately watched,float64,6,0,0.0,"{1.0: 'Definitely would happen', 2.0: 'Probably would happen', 3.0: 'Probably would not happen', 4.0: 'Definitely would not happen', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM4_a_W119,AIWRKM4_a_W119. Do you favor or oppose employers using information collected and analyzed by artificial intelligence (AI) about how people are doing their jobs to decide whether someone…    Gets a promotion,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKM4_b_W119,AIWRKM4_b_W119. Do you favor or oppose employers using information collected and analyzed by artificial intelligence (AI) about how people are doing their jobs to decide whether someone…    Is fired,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
EVALBIAS1_W119,"EVALBIAS1_W119. In performance evaluations generally, how much of a problem is bias and unfair treatment based on workers’ race or ethnicity?",float64,4,0,0.0,"{1.0: 'A major problem', 2.0: 'A minor problem', 3.0: 'Not a problem', 99.0: 'Refused'}",99.0=Refused
EVALBIAS2_W119,"EVALBIAS2_W119. If artificial intelligence (AI) is used more by employers in performance evaluations, do you think the issue of bias and unfair treatment based on workers’ race or ethnicity would…",float64,6,2633,23.93,"{1.0: 'Definitely get better', 2.0: 'Probably get better', 3.0: 'Stay about the same', 4.0: 'Probably get worse', 5.0: 'Definitely get worse', 99.0: 'Refused'}",99.0=Refused
FACERECWK1_W119,"FACERECWK1_W119. The next questions are about facial recognition technology, which can identify someone by scanning their face in photos, videos or in real time. How much have you heard or read about employers’ use of facial recognition technology in the w",float64,4,0,0.0,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
FACERECWK2_a_W119,FACERECWK2_a_W119. Would you favor or oppose employers’ use of facial recognition technology for each of the following purposes?    Automatically tracking the attendance of their employees,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
FACERECWK2_b_W119,FACERECWK2_b_W119. Would you favor or oppose employers’ use of facial recognition technology for each of the following purposes?    Analyzing employees’ facial expressions,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
FACERECWK2_c_W119,FACERECWK2_c_W119. Would you favor or oppose employers’ use of facial recognition technology for each of the following purposes?    Tracking how often workers take breaks,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
FACERECWK3_a_W119,FACERECWK3_a_W119. Do you think each of the following would happen due to employers’ use of facial recognition technology in the workplace? The technology would…    Misidentify a worker as someone they’re not,float64,6,0,0.0,"{1.0: 'Definitely would happen', 2.0: 'Probably would happen', 3.0: 'Probably would not happen', 4.0: 'Definitely would not happen', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
FACERECWK3_b_W119,FACERECWK3_b_W119. Do you think each of the following would happen due to employers’ use of facial recognition technology in the workplace? The technology would…    Recognize some skin tones better than others,float64,6,0,0.0,"{1.0: 'Definitely would happen', 2.0: 'Probably would happen', 3.0: 'Probably would not happen', 4.0: 'Definitely would not happen', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
FACERECWK3_c_W119,FACERECWK3_c_W119. Do you think each of the following would happen due to employers’ use of facial recognition technology in the workplace? The technology would…    Misinterpret workers’ facial expressions,float64,6,0,0.0,"{1.0: 'Definitely would happen', 2.0: 'Probably would happen', 3.0: 'Probably would not happen', 4.0: 'Definitely would not happen', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
TWITTER1_MOD_W119,TWITTER1_MOD_W119. Just a few last questions … Do you have a Twitter account?,float64,3,0,0.0,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}",99.0=Refused
F_METRO,Metropolitan area indicator,float64,2,0,0.0,"{1.0: 'Metropolitan', 2.0: 'Non-metropolitan'}",
F_CREGION,Census region,float64,4,0,0.0,"{1.0: 'Northeast', 2.0: 'Midwest', 3.0: 'South', 4.0: 'West'}",
F_CDIVISION,Census division,float64,9,0,0.0,"{1.0: 'New England', 2.0: 'Middle Atlantic', 3.0: 'East North Central', 4.0: 'West North Central', 5.0: 'South Atlantic', 6.0: 'East South Central', 7.0: 'West South Central', 8.0: 'Mountain', 9.0: 'P...",
F_USR_SELFID," Self-identified Urban, Suburban, Rural (USR)",float64,4,0,0.0,"{1.0: 'Urban', 2.0: 'Suburban', 3.0: 'Rural', 99.0: 'Refused'}",99.0=Refused
F_AGECAT,Age category,float64,5,0,0.0,"{1.0: '18-29', 2.0: '30-49', 3.0: '50-64', 4.0: '65+', 99.0: 'Refused'}",99.0=Refused
F_GENDER,Gender,float64,4,0,0.0,"{1.0: 'A man', 2.0: 'A woman', 3.0: 'In some other way', 99.0: 'Refused'}",99.0=Refused
F_EDUCCAT,Education level category,float64,4,0,0.0,"{1.0: 'College graduate+', 2.0: 'Some College', 3.0: 'H.S. graduate or less', 99.0: 'Refused'}",99.0=Refused
F_EDUCCAT2,Education level category 2,float64,7,0,0.0,"{1.0: 'Less than high school', 2.0: 'High school graduate', 3.0: 'Some college, no degree', 4.0: ""Associate's degree"", 5.0: 'College graduate/some post grad', 6.0: 'Postgraduate', 99.0: 'Refused'}",99.0=Refused
F_HISP,Hispanic identification,float64,3,0,0.0,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}",99.0=Refused
F_HISP_ORIGIN,Hispanic origin,float64,10,9522,86.53,"{1.0: 'Mexican', 2.0: 'Puerto Rican', 3.0: 'Cuban', 4.0: 'Dominican', 5.0: 'Salvadoran', 6.0: 'Spanish', 7.0: 'Other Central American', 8.0: 'Other South American', 97.0: 'Other country', 99.0: 'Refus...",99.0=Refused
F_YEARSINUS_RECODE,Years lived in the United States (excluding Puerto Rico or other U.S. territories) - 4 category,float64,5,0,0.0,"{1.0: 'Born in US (not including unincorporated territories)', 2.0: '0-10 years', 3.0: '11-20 years', 4.0: '21+ years', 99.0: 'DK/Ref'}",
F_RACECMB,Combining Race,float64,6,0,0.0,"{1.0: 'White', 2.0: 'Black or African-American', 3.0: 'Asian or Asian-American', 4.0: 'Mixed Race', 5.0: 'Or some other race', 99.0: 'Refused'}",99.0=Refused
F_RACETHNMOD,Race-Ethnicity,float64,6,0,0.0,"{1.0: 'White non-Hispanic', 2.0: 'Black non-Hispanic', 3.0: 'Hispanic', 4.0: 'Other', 5.0: 'Asian non-Hispanic', 99.0: 'Refused'}",99.0=Refused
F_CITIZEN,Citizenship,float64,3,0,0.0,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}",99.0=Refused
F_BIRTHPLACE,Birthplace,float64,5,0,0.0,"{1.0: 'U.S. – 50 states, District of Columbia', 2.0: 'U.S. – Puerto Rico', 3.0: 'U.S. – other territory', 4.0: 'Another country', 99.0: 'Refused'}",99.0=Refused
F_MARITAL,Marital status,float64,7,0,0.0,"{1.0: 'Married', 2.0: 'Living with a partner', 3.0: 'Divorced', 4.0: 'Separated', 5.0: 'Widowed', 6.0: 'Never been married', 99.0: 'Refused'}",99.0=Refused
F_RELIG,Religion,float64,13,0,0.0,"{1.0: 'Protestant', 2.0: 'Roman Catholic', 3.0: 'Mormon (Church of Jesus Christ of Latter-day Saints or LDS)', 4.0: 'Orthodox (such as Greek, Russian, or some other Orthodox church)', 5.0: 'Jewish', 6...",99.0=Refused
F_BORN,Born-again or evangelical Christian,float64,3,3869,35.16,"{1.0: 'Yes, born-again or evangelical Christian', 2.0: 'No, not born-again or evangelical Christian', 99.0: 'Refused'}",99.0=Refused
F_RELIGCAT1,Condensed 4-way religion variable,float64,5,0,0.0,"{1.0: 'Protestant', 2.0: 'Catholic', 3.0: 'Unaffiliated', 4.0: 'Other', 99.0: 'Refused'}",99.0=Refused
F_ATTEND,Religious service attendance,float64,7,0,0.0,"{1.0: 'More than once a week', 2.0: 'Once a week', 3.0: 'Once or twice a month', 4.0: 'A few times a year', 5.0: 'Seldom', 6.0: 'Never', 99.0: 'Refused'}",99.0=Refused
F_PARTY_FINAL,Party,float64,5,0,0.0,"{1.0: 'Republican', 2.0: 'Democrat', 3.0: 'Independent', 4.0: 'Something else', 99.0: 'Refused'}",99.0=Refused
F_PARTYLN_FINAL,Party lean,float64,3,6843,62.19,"{1.0: 'The Republican Party', 2.0: 'The Democratic Party', 99.0: 'Refused'}",99.0=Refused
F_PARTYSUM_FINAL,Party summary,float64,3,0,0.0,"{1.0: 'Rep/Lean Rep', 2.0: 'Dem/Lean Dem', 9.0: 'DK/Refused/No lean'}",9.0=DK/Refused/No lean
F_PARTYSUMIDEO_FINAL,Combining ideology and party identification,float64,5,0,0.0,"{1.0: 'Conservative Rep/Lean', 2.0: 'Moderate/Liberal Rep/Lean', 3.0: 'Moderate/Conservative Dem/Lean', 4.0: 'Liberal Dem/Lean', 9.0: 'Refused either F_IDEO or F_PARTYSUM_FINAL'}",9.0=Refused either F_IDEO or F_PARTYSUM_FINAL
F_REG,REG.   Voter registration,float64,4,362,3.29,"{1.0: 'You are ABSOLUTELY CERTAIN that you are registered to vote at your current address', 2.0: 'You are PROBABLY registered, but there is a chance your registration has lapsed', 3.0: 'You are NOT re...",99.0=Refused
F_INC_SDT1,Family income,float64,10,0,0.0,"{1.0: 'Less than $30,000', 2.0: '$30,000 to less than $40,000', 3.0: '$40,000 to less than $50,000', 4.0: '$50,000 to less than $60,000', 5.0: '$60,000 to less than $70,000', 6.0: '$70,000 to less tha...",99.0=Refused
F_IDEO,Ideology,float64,6,0,0.0,"{1.0: 'Very conservative', 2.0: 'Conservative', 3.0: 'Moderate', 4.0: 'Liberal', 5.0: 'Very liberal', 99.0: 'Refused'}",99.0=Refused
F_INTFREQ,Frequency of internet use,float64,6,164,1.49,"{1.0: 'Almost constantly', 2.0: 'Several times a day', 3.0: 'About once a day', 4.0: 'Several times a week', 5.0: 'Less often', 99.0: 'Refused'}",99.0=Refused
F_VOLSUM,Volunteerism status,float64,3,0,0.0,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}",99.0=Refused
F_INC_TIER2,Income tier 3-way,float64,4,235,2.14,"{1.0: 'Lower income', 2.0: 'Middle income', 3.0: 'Upper income', 99.0: 'Refused'}",99.0=Refused
WEIGHT_W119,Wave 119 weight,float64,10428,0,0.0,,
